13.12.2024 18:55:16 - Simulation: Step 333 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 334 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 335 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 336 done.   Volume: 9
13.12.2024 18:55:16 - Simulation: Step 337 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 338 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 339 done.   Volume: 9
13.12.2024 18:55:16 - Simulation: Step 340 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 341 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 342 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 343 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 344 done.   Volume: 9
13.12.2024 18:55:16 - Simulation: Step 345 done.   Volume: 9
13.12.2024 18:55:16 - Simulation: Step 346 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 347 done.   Volume: 9
13.12.2024 18:55:16 - Simulation: Step 348 done.   Volume: 11
13.12.2024 18:55:16 - Simulation: Step 349 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 350 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 351 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 352 done.   Volume: 10
13.12.2024 18:55:16 - Simulation: Step 353 done.   Volume: 9
13.12.2024 18:55:17 - Simulation: Step 354 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 355 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 356 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 357 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 358 done.   Volume: 8
13.12.2024 18:55:17 - Simulation: Step 359 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 360 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 361 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 362 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 363 done.   Volume: 9
13.12.2024 18:55:17 - Simulation: Step 364 done.   Volume: 9
13.12.2024 18:55:17 - Simulation: Step 365 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 366 done.   Volume: 9
13.12.2024 18:55:17 - Simulation: Step 367 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 368 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 369 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 370 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 371 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 372 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 373 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 374 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 375 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 376 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 377 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 378 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 379 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 380 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 381 done.   Volume: 11
13.12.2024 18:55:17 - Simulation: Step 382 done.   Volume: 10
13.12.2024 18:55:17 - Simulation: Step 383 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 384 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 385 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 386 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 387 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 388 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 389 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 390 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 391 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 392 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 393 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 394 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 395 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 396 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 397 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 398 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 399 done.   Volume: 10
